algo,metric,n,median,mean,min,max,cv_pct
ML-DSA-65,verify-wall-p99-ns,5,119027,119229.4,118875,120166,0.45
ML-DSA-65,verify-wall-std-ns,5,1070.2,1068.12,714.9,1430.3,25.77
ML-DSA-87,keygen-cyc-mean,5,467828.3,468093.4,467250,469471.5,0.18
ML-DSA-87,keygen-cyc-median,5,467272,467465.2,466672,468946,0.19
ML-DSA-87,keygen-iters,5,1000,1000,1000,1000,0.00
ML-DSA-87,keygen-persec,5,5751.7,5749.36,5731.2,5759.1,0.18
ML-DSA-87,keygen-wall-ci95hi-ns,5,174209.5,174327.54,173994.6,174794.4,0.18
ML-DSA-87,keygen-wall-ci95lo-ns,5,173931.9,174007.62,173712,174565.4,0.19
ML-DSA-87,keygen-wall-mean-ns,5,174070.7,174167.58,173853.3,174679.9,0.18
ML-DSA-87,keygen-wall-median-ns,5,173862,173933,173638,174484,0.19
ML-DSA-87,keygen-wall-p95-ns,5,176414,176314,175806,176843,0.26
ML-DSA-87,keygen-wall-p99-ns,5,181139,180987.8,179804,181866,0.44
ML-DSA-87,keygen-wall-std-ns,5,2239.5,2580.72,1847.2,4555.5,43.34
ML-DSA-87,sign-cyc-mean,5,1933830.9,1919893.04,1842667.5,1963343.9,2.49
ML-DSA-87,sign-cyc-median,5,1574440,1576040.4,1573808,1580614,0.18
ML-DSA-87,sign-iters,5,1000,1000,1000,1000,0.00
ML-DSA-87,sign-persec,5,1707.2,1705.46,1700.5,1707.9,0.18
ML-DSA-87,sign-wall-ci95hi-ns,5,749073.4,742844.2,712063.6,757583.3,2.51
ML-DSA-87,sign-wall-ci95lo-ns,5,689842.5,685699.62,659024.1,703289.8,2.48
ML-DSA-87,sign-wall-mean-ns,5,719458,714271.92,685543.9,730436.5,2.49
ML-DSA-87,sign-wall-median-ns,5,585753,586349.8,585524,588050,0.18
ML-DSA-87,sign-wall-p95-ns,5,1661204,1610846.6,1530404,1666954,4.49
ML-DSA-87,sign-wall-p99-ns,5,2334570,2336843.8,2199038,2478557,5.70
ML-DSA-87,sign-wall-std-ns,5,471714.4,460987.32,427871.9,489545,5.78
ML-DSA-87,size-key-bits,5,20736,20736,20736,20736,0.00
ML-DSA-87,size-privkey-bytes,5,4896,4896,4896,4896,0.00
ML-DSA-87,size-pubkey-bytes,5,2592,2592,2592,2592,0.00
ML-DSA-87,size-signature-bytes,5,4627,4627,4627,4627,0.00
ML-DSA-87,verify-cyc-mean,5,494950.4,494970.66,494445.9,495406.2,0.08
ML-DSA-87,verify-cyc-median,5,494700,494650,493936,495186,0.09
ML-DSA-87,verify-iters,5,1000,1000,1000,1000,0.00
ML-DSA-87,verify-persec,5,5432.9,5433.4,5427.6,5441.3,0.09
ML-DSA-87,verify-wall-ci95hi-ns,5,184272.3,184274.62,184088.8,184447.9,0.08
ML-DSA-87,verify-wall-ci95lo-ns,5,184048.6,184056.86,183849.6,184206.6,0.07
ML-DSA-87,verify-wall-mean-ns,5,184160.4,184165.74,183969.2,184327.3,0.08
ML-DSA-87,verify-wall-median-ns,5,184064,184046.6,183778,184245,0.09
ML-DSA-87,verify-wall-p95-ns,5,185815,185825.8,185548,186094,0.11
ML-DSA-87,verify-wall-p99-ns,5,187837,188870,186701,191404,1.23
ML-DSA-87,verify-wall-std-ns,5,1929.3,1756.7,1101.2,2001.4,21.26
ML-KEM-1024,decap-cyc-mean,5,81510.3,81510.54,81445.7,81593.3,0.07
ML-KEM-1024,decap-cyc-median,5,81376,81372.8,81340,81402,0.04
ML-KEM-1024,decap-iters,5,1000,1000,1000,1000,0.00
ML-KEM-1024,decap-persec,5,33001.1,33008.72,32998.9,33022.9,0.04
ML-KEM-1024,decap-wall-ci95hi-ns,5,30362.7,30367.3,30337.3,30412.1,0.09
ML-KEM-1024,decap-wall-ci95lo-ns,5,30321.6,30325.54,30305.8,30351.5,0.05
ML-KEM-1024,decap-wall-mean-ns,5,30345.4,30346.42,30321.5,30381.8,0.07
ML-KEM-1024,decap-wall-median-ns,5,30302,30295,30282,30304,0.04
ML-KEM-1024,decap-wall-p95-ns,5,30616,30744.2,30572,31273,0.97
ML-KEM-1024,decap-wall-p99-ns,5,31611,31730.4,31529,31969,0.68
