algo,metric,value
ML-KEM-768,decap-iters,1000
ML-KEM-768,decap-persec,7877.5
ML-KEM-768,decap-wall-ci95hi-ns,127436.6
ML-KEM-768,decap-wall-ci95lo-ns,127149
ML-KEM-768,decap-wall-mean-ns,127292.8
ML-KEM-768,decap-wall-median-ns,126944
ML-KEM-768,decap-wall-p95-ns,127240
ML-KEM-768,decap-wall-p99-ns,136759
ML-KEM-768,decap-wall-std-ns,2022.1
ML-KEM-768,encap-cyc-mean,4603.2
ML-KEM-768,encap-cyc-median,4580
ML-KEM-768,encap-iters,1000
ML-KEM-768,encap-persec,11777.6
ML-KEM-768,encap-wall-ci95hi-ns,85472.7
ML-KEM-768,encap-wall-ci95lo-ns,85178.5
ML-KEM-768,encap-wall-mean-ns,85325.6
ML-KEM-768,encap-wall-median-ns,84907
ML-KEM-768,encap-wall-p95-ns,85741
ML-KEM-768,encap-wall-p99-ns,95037
ML-KEM-768,encap-wall-std-ns,2728.1
ML-KEM-768,keygen-cyc-mean,8338.3
ML-KEM-768,keygen-cyc-median,8299
ML-KEM-768,keygen-iters,1000
ML-KEM-768,keygen-persec,6500.6
ML-KEM-768,keygen-wall-ci95hi-ns,154866.5
ML-KEM-768,keygen-wall-ci95lo-ns,154260.4
ML-KEM-768,keygen-wall-mean-ns,154563.5
ML-KEM-768,keygen-wall-median-ns,153833
ML-KEM-768,keygen-wall-p95-ns,156371
ML-KEM-768,keygen-wall-p99-ns,165870
ML-KEM-768,keygen-wall-std-ns,4889.6
ML-KEM-768,size-ciphertext-bytes,1088
ML-KEM-768,size-key-bits,768
ML-KEM-768,size-privkey-bytes,2400
ML-KEM-768,size-pubkey-bytes,1184
ML-KEM-768,size-shared-secret-bytes,32
ecdh-P-256,derive-cyc-mean,14194.4
ecdh-P-256,derive-cyc-median,14158
ecdh-P-256,derive-iters,1000
ecdh-P-256,derive-persec,3813
ecdh-P-256,derive-wall-ci95hi-ns,263101.8
ecdh-P-256,derive-wall-ci95lo-ns,262783.9
ecdh-P-256,derive-wall-mean-ns,262942.8
ecdh-P-256,derive-wall-median-ns,262259
ecdh-P-256,derive-wall-p95-ns,270407
ecdh-P-256,derive-wall-p99-ns,272574
ecdh-P-256,derive-wall-std-ns,2564.3
ecdh-P-256,keygen-cyc-mean,5003.9
ecdh-P-256,keygen-cyc-median,4978
ecdh-P-256,keygen-iters,1000
ecdh-P-256,keygen-persec,10834.7
ecdh-P-256,keygen-wall-ci95hi-ns,93029.5
ecdh-P-256,keygen-wall-ci95lo-ns,92562.1
ecdh-P-256,keygen-wall-mean-ns,92770.3
ecdh-P-256,keygen-wall-median-ns,92296
ecdh-P-256,keygen-wall-p95-ns,93463
ecdh-P-256,keygen-wall-p99-ns,105259
ecdh-P-256,keygen-wall-std-ns,2961.6
ecdh-P-256,size-key-bits,256
ecdh-P-256,size-pubkey-bytes,65
ecdh-P-384,derive-cyc-mean,213936
ecdh-P-384,derive-cyc-median,213570
ecdh-P-384,derive-iters,1000
ecdh-P-384,derive-persec,252.8
ecdh-P-384,derive-wall-ci95hi-ns,3963187.7
ecdh-P-384,derive-wall-ci95lo-ns,3960660.7
ecdh-P-384,derive-wall-mean-ns,3961924.2
ecdh-P-384,derive-wall-median-ns,3955167
ecdh-P-384,derive-wall-p95-ns,3993740
ecdh-P-384,derive-wall-p99-ns,4010352
ecdh-P-384,derive-wall-std-ns,20385
ecdh-P-384,keygen-cyc-mean,217245.8
ecdh-P-384,keygen-cyc-median,216584
ecdh-P-384,keygen-iters,1000
ecdh-P-384,keygen-persec,249.3
ecdh-P-384,keygen-wall-ci95hi-ns,4027648.9
ecdh-P-384,keygen-wall-ci95lo-ns,4018782.6
ecdh-P-384,keygen-wall-mean-ns,4023215.7
ecdh-P-384,keygen-wall-median-ns,4010963
ecdh-P-384,keygen-wall-p95-ns,4033778
