algo,metric,n,median,mean,min,max,cv_pct
ML-KEM-1024,keygen-cyc-mean,5,11947.2,11957.04,11939.4,11986.2,0.16
ML-KEM-1024,keygen-cyc-median,5,11890,11899.2,11884,11937,0.18
ML-KEM-1024,keygen-iters,5,1000,1000,1000,1000,0.00
ML-KEM-1024,keygen-persec,5,4539.3,4535.7,4521.5,4541.3,0.18
ML-KEM-1024,keygen-wall-ci95hi-ns,5,221760.3,221966.86,221551.3,222511,0.19
ML-KEM-1024,keygen-wall-ci95lo-ns,5,220967.7,221154.06,220899.1,221818.8,0.17
ML-KEM-1024,keygen-wall-mean-ns,5,221354.1,221560.46,221225.2,222164.9,0.18
ML-KEM-1024,keygen-wall-median-ns,5,220296,220474,220203,221167,0.18
ML-KEM-1024,keygen-wall-p95-ns,5,230240,230285.2,229889,230741,0.14
ML-KEM-1024,keygen-wall-p99-ns,5,236741,236055.6,233759,236815,0.55
ML-KEM-1024,keygen-wall-std-ns,5,5761.2,6556.72,5260.9,9624.2,27.14
ML-KEM-1024,size-ciphertext-bytes,5,1568,1568,1568,1568,0.00
ML-KEM-1024,size-key-bits,5,1024,1024,1024,1024,0.00
ML-KEM-1024,size-privkey-bytes,5,3168,3168,3168,3168,0.00
ML-KEM-1024,size-pubkey-bytes,5,1568,1568,1568,1568,0.00
ML-KEM-1024,size-shared-secret-bytes,5,32,32,32,32,0.00
ML-KEM-512,decap-cyc-mean,5,5017.9,5059.1,5008.6,5217.8,1.77
ML-KEM-512,decap-cyc-median,5,5004,5004,4993,5018,0.21
ML-KEM-512,decap-iters,5,1000,1000,1000,1000,0.00
ML-KEM-512,decap-persec,5,10782.7,10782.8,10752.7,10806.5,0.21
ML-KEM-512,decap-wall-ci95hi-ns,5,93102.5,94114.34,92909.9,97938.9,2.30
ML-KEM-512,decap-wall-ci95lo-ns,5,92906.4,93394.46,92722.3,95445.8,1.24
ML-KEM-512,decap-wall-mean-ns,5,93004.5,93754.42,92816.1,96692.4,1.77
ML-KEM-512,decap-wall-median-ns,5,92741,92740.6,92537,93000,0.21
ML-KEM-512,decap-wall-p95-ns,5,92926,94948.2,92740,102982,4.73
ML-KEM-512,decap-wall-p99-ns,5,102389,119270.4,102037,186760,31.63
ML-KEM-512,decap-wall-std-ns,5,1582.1,5807.14,1512.8,20112,139.17
ML-KEM-512,encap-cyc-mean,5,3480.8,3489.5,3479.6,3521.7,0.52
ML-KEM-512,encap-cyc-median,5,3470,3470.8,3468,3475,0.07
ML-KEM-512,encap-iters,5,1000,1000,1000,1000,0.00
ML-KEM-512,encap-persec,5,15539.8,15540.52,15521.7,15557.4,0.08
ML-KEM-512,encap-wall-ci95hi-ns,5,64619.4,64862.8,64573,65808,0.82
ML-KEM-512,encap-wall-ci95lo-ns,5,64458.5,64525.92,64406.2,64759.9,0.22
ML-KEM-512,encap-wall-mean-ns,5,64538.9,64694.34,64489.6,65283.9,0.52
ML-KEM-512,encap-wall-median-ns,5,64351,64348,64278,64426,0.08
ML-KEM-512,encap-wall-p95-ns,5,64574,64744.4,64481,65500,0.67
ML-KEM-512,encap-wall-p99-ns,5,74037,74188.6,73870,74926,0.57
ML-KEM-512,encap-wall-std-ns,5,1297.9,2717.54,1244.5,8454.7,118.03
ML-KEM-512,keygen-cyc-mean,5,5669.8,5667.22,5656.7,5677.9,0.15
