algo,metric,value
ecdsa-P-256,verify-iters,1000
ecdsa-P-256,verify-persec,19022.6
ecdsa-P-256,verify-wall-ci95hi-ns,52728.3
ecdsa-P-256,verify-wall-ci95lo-ns,52654
ecdsa-P-256,verify-wall-mean-ns,52703.4
ecdsa-P-256,verify-wall-median-ns,52569
ecdsa-P-256,verify-wall-p95-ns,53660
ecdsa-P-256,verify-wall-p99-ns,54185
ecdsa-P-256,verify-wall-std-ns,591.6
ecdsa-P-384,keygen-cyc-mean,1259898.6
ecdsa-P-384,keygen-cyc-median,1258524
ecdsa-P-384,keygen-iters,1000
ecdsa-P-384,keygen-persec,2135.7
ecdsa-P-384,keygen-wall-ci95hi-ns,468911.9
ecdsa-P-384,keygen-wall-ci95lo-ns,468541.7
ecdsa-P-384,keygen-wall-mean-ns,468733.1
ecdsa-P-384,keygen-wall-median-ns,468221
ecdsa-P-384,keygen-wall-p95-ns,473714
ecdsa-P-384,keygen-wall-p99-ns,478464
ecdsa-P-384,keygen-wall-std-ns,3128.9
ecdsa-P-384,sign-cyc-mean,1296316.7
ecdsa-P-384,sign-cyc-median,1295572
ecdsa-P-384,sign-iters,1000
ecdsa-P-384,sign-persec,2074.6
ecdsa-P-384,sign-wall-ci95hi-ns,482455.4
ecdsa-P-384,sign-wall-ci95lo-ns,482117.7
ecdsa-P-384,sign-wall-mean-ns,482286.6
ecdsa-P-384,sign-wall-median-ns,482012
ecdsa-P-384,sign-wall-p95-ns,486668
ecdsa-P-384,sign-wall-p99-ns,491279
ecdsa-P-384,sign-wall-std-ns,2774.7
ecdsa-P-384,size-key-bits,384
ecdsa-P-384,size-pubkey-bytes,97
ecdsa-P-384,size-signature-max-bytes,104
ecdsa-P-384,verify-cyc-mean,1110267.3
ecdsa-P-384,verify-cyc-median,1108888
ecdsa-P-384,verify-iters,1000
ecdsa-P-384,verify-persec,2423.9
ecdsa-P-384,verify-wall-ci95hi-ns,413395.8
ecdsa-P-384,verify-wall-ci95lo-ns,412740
ecdsa-P-384,verify-wall-mean-ns,413067.9
ecdsa-P-384,verify-wall-median-ns,412555
ecdsa-P-384,verify-wall-p95-ns,416180
